filename,freq,acc_amplitude_fft_m/s/s,pos_amplitude_fft_m,Folder,MinMax_amp_Volts,datetime,rewNum,accFile,beeID,hive,IT,accFileAndFolder,dateFrozenOrMarked,treatment,MinMax_amp_acc_m/s/s
2016_10_12__10_54_15_352_220_450_test.txt,420.0,3.7982738477924816,5.454161026871752e-07,Bee10_12Oct2016_Hive3_S_W,0.51952,2016_10_12__10_54_15_352,52,2016_10_12__10_54_15_352_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,51.08357915437561
2016_10_12__10_54_22_498_220_450_test.txt,400.0,3.119803461979173,4.939096554674888e-07,Bee10_12Oct2016_Hive3_S_W,0.3868,2016_10_12__10_54_22_498,53,2016_10_12__10_54_22_498_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,38.03343166175024
2016_10_12__10_54_29_818_220_450_test.txt,380.0,1.2082228658242191,2.1194350912231193e-07,Bee10_12Oct2016_Hive3_S_W,0.23265999999999998,2016_10_12__10_54_29_818,54,2016_10_12__10_54_29_818_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,22.877089478859393
2016_10_12__10_55_10_900_220_450_test.txt,360.0,1.7642620680183574,3.4482469326176427e-07,Bee10_12Oct2016_Hive3_S_W,0.30438000000000004,2016_10_12__10_55_10_900,55,2016_10_12__10_55_10_900_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,29.929203539823014
2016_10_12__10_56_09_711_220_450_test.txt,430.0,4.646062623723988,6.36485349259248e-07,Bee10_12Oct2016_Hive3_S_W,0.5458,2016_10_12__10_56_09_711,56,2016_10_12__10_56_09_711_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,53.66764995083579
2016_10_12__10_56_15_673_220_450_test.txt,400.0,2.875458506369437,4.552263427809063e-07,Bee10_12Oct2016_Hive3_S_W,0.31411,2016_10_12__10_56_15_673,57,2016_10_12__10_56_15_673_220_450_test.txt,10,3,4.09,Bee10_12Oct2016_Hive3_S_W/2016_10_12__10_44_03_ampFreq.txt,12-Oct-16,weighted,30.885939036381515
2016_10_12__11_04_46_447_220_450_test.txt,440.0,2.3158988113321204,3.0300827577486246e-07,Bee11_12Oct2016_Hive3_W_S,0.36863,2016_10_12__11_04_46_447,1,2016_10_12__11_04_46_447_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,36.246804326450345
2016_10_12__11_04_48_268_220_450_test.txt,440.0,2.078669035806732,2.7196953397290174e-07,Bee11_12Oct2016_Hive3_W_S,0.18366,2016_10_12__11_04_48_268,2,2016_10_12__11_04_48_268_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,18.058997050147493
2016_10_12__11_05_35_346_220_450_test.txt,400.0,1.8458145318950812,2.922189268059957e-07,Bee11_12Oct2016_Hive3_W_S,0.18821,2016_10_12__11_05_35_346,3,2016_10_12__11_05_35_346_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,18.50639134709931
2016_10_12__11_05_38_308_220_450_test.txt,400.0,2.6964496802284046,4.268866769261642e-07,Bee11_12Oct2016_Hive3_W_S,0.41016,2016_10_12__11_05_38_308,4,2016_10_12__11_05_38_308_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,40.330383480825965
2016_10_12__11_05_51_358_220_450_test.txt,410.0,1.603446058823643,2.416166754709297e-07,Bee11_12Oct2016_Hive3_W_S,0.30048,2016_10_12__11_05_51_358,5,2016_10_12__11_05_51_358_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,29.545722713864308
2016_10_12__11_05_54_225_220_450_test.txt,410.0,7.143907202720535,1.0764859214911765e-06,Bee11_12Oct2016_Hive3_W_S,0.78528,2016_10_12__11_05_54_225,6,2016_10_12__11_05_54_225_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,77.21533923303834
2016_10_12__11_06_08_210_220_450_test.txt,360.0,1.2724250318237469,2.4869523595779576e-07,Bee11_12Oct2016_Hive3_W_S,0.11357,2016_10_12__11_06_08_210,7,2016_10_12__11_06_08_210_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,11.16715830875123
2016_10_12__11_06_10_812_220_450_test.txt,360.0,2.7833554953778954,5.440063142150728e-07,Bee11_12Oct2016_Hive3_W_S,0.15835,2016_10_12__11_06_10_812,8,2016_10_12__11_06_10_812_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,15.570304818092428
2016_10_12__11_06_25_149_220_450_test.txt,370.0,2.0078898007140324,3.715152871287866e-07,Bee11_12Oct2016_Hive3_W_S,0.1788,2016_10_12__11_06_25_149,9,2016_10_12__11_06_25_149_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,17.5811209439528
2016_10_12__11_06_38_392_220_450_test.txt,380.0,0.9643467224251492,1.6916335068858224e-07,Bee11_12Oct2016_Hive3_W_S,0.11195,2016_10_12__11_06_38_392,10,2016_10_12__11_06_38_392_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,11.007866273352999
2016_10_12__11_06_40_009_220_450_test.txt,410.0,2.0046176536411933,3.020675690322005e-07,Bee11_12Oct2016_Hive3_W_S,0.34818000000000005,2016_10_12__11_06_40_009,11,2016_10_12__11_06_40_009_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,34.23598820058998
2016_10_12__11_06_49_831_220_450_test.txt,370.0,1.4304187655005791,2.646671337193761e-07,Bee11_12Oct2016_Hive3_W_S,0.2381800000000001,2016_10_12__11_06_49_831,12,2016_10_12__11_06_49_831_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,23.419862340216326
2016_10_12__11_07_04_459_220_450_test.txt,390.0,1.8259311038655357,3.040853068590014e-07,Bee11_12Oct2016_Hive3_W_S,0.28393,2016_10_12__11_07_04_459,13,2016_10_12__11_07_04_459_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,27.91838741396264
2016_10_12__11_07_06_400_220_450_test.txt,420.0,0.83821993161731,1.203648464059882e-07,Bee11_12Oct2016_Hive3_W_S,0.23201,2016_10_12__11_07_06_400,14,2016_10_12__11_07_06_400_220_450_test.txt,11,3,3.92,Bee11_12Oct2016_Hive3_W_S/2016_10_12__11_04_32_ampFreq.txt,12-Oct-16,weighted,22.813176007866268
