freq,amp,datetime,visitNum,treatment_rewarded,BeeNumCol,accFile,beeID,hive,treatment,totalRewards,meanFreqRewarded,totalBuzzesNotRewarded,meanFreqUnrewarded,IT_mm,amp_acc
310.0,0.7953399999999999, 2017_05_30__10_00_51_415,87, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_51_415_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,78.20452310717796
280.0,0.6068100000000001, 2017_05_30__10_00_51_908,88, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_51_908_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,59.66666666666667
300.0,0.8102699999999999, 2017_05_30__10_00_55_192,89, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_00_55_192_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,79.67256637168141
300.0,0.96083, 2017_05_30__10_02_27_766,90, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_02_27_766_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,94.47689282202556
360.0,0.54548, 2017_05_30__10_02_34_700,91, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_02_34_700_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,53.6361848574238
310.0,0.54061, 2017_05_30__10_02_36_164,92, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_02_36_164_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,53.157325467059984
240.0,0.95337, 2017_05_30__10_02_37_273,93, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_02_37_273_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,93.7433628318584
240.0,0.23137, 2017_05_30__10_04_44_108,94, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_04_44_108_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,22.75024582104228
280.0,0.74212, 2017_05_30__10_04_52_034,95, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_04_52_034_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,72.97148475909538
260.0,0.9575899999999999, 2017_05_30__10_04_58_560,96, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_04_58_560_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,94.1583087512291
250.0,0.7891699999999999, 2017_05_30__10_05_00_808,97, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_05_00_808_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,77.59783677482793
250.0,0.8819799999999999, 2017_05_30__10_05_01_948,98, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_05_01_948_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,86.7236971484759
300.0,0.34267, 2017_05_30__10_06_02_685,99, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_06_02_685_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,33.69419862340216
300.0,0.8826299999999999, 2017_05_30__10_06_05_014,100, T,B_207_2017_05_30_H_7_RewSec,2017_05_30__10_06_05_014_220_450_0_5.txt,207,7,RewSec,50,303.8,50,307.2,4.11,86.78761061946902
350.0,1.25158, 2017_05_30__10_15_55_623,1, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_15_55_623_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,123.06588003933136
370.0,0.89139, 2017_05_30__10_15_57_814,2, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_15_57_814_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,87.64896755162242
350.0,0.9313, 2017_05_30__10_15_58_326,3, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_15_58_326_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,91.57325467059981
320.0,0.8346, 2017_05_30__10_15_59_695,4, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_15_59_695_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,82.06489675516224
350.0,1.14936, 2017_05_30__10_16_00_206,5, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_00_206_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,113.01474926253687
340.0,1.24055, 2017_05_30__10_16_00_685,6, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_00_685_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,121.98131760078662
350.0,0.61654, 2017_05_30__10_16_15_832,7, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_15_832_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,60.623402163225165
370.0,0.78593, 2017_05_30__10_16_16_366,8, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_16_366_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,77.27925270403148
350.0,0.8261700000000001, 2017_05_30__10_16_16_839,9, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_16_839_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,81.23598820058997
320.0,1.12568, 2017_05_30__10_16_17_717,10, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_17_717_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,110.68633235004917
350.0,0.5325, 2017_05_30__10_16_18_415,11, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_18_415_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,52.359882005899706
330.0,0.63049, 2017_05_30__10_16_18_851,12, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_18_851_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,61.995083579154375
330.0,0.7882, 2017_05_30__10_16_19_475,13, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_19_475_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,77.50245821042282
360.0,0.7155100000000001, 2017_05_30__10_16_20_593,14, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_20_593_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,70.35496558505409
340.0,0.55813, 2017_05_30__10_16_21_400,15, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_21_400_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,54.88003933136677
350.0,0.42508999999999997, 2017_05_30__10_16_22_340,16, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_22_340_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,41.7984267453294
330.0,0.69053, 2017_05_30__10_16_22_833,17, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_22_833_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,67.89872173058014
360.0,0.90145, 2017_05_30__10_16_23_486,18, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_23_486_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,88.63815142576203
320.0,0.41178000000000003, 2017_05_30__10_16_24_069,19, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_24_069_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,40.48967551622419
380.0,1.10036, 2017_05_30__10_16_24_539,20, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_24_539_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,108.19665683382496
340.0,0.90015, 2017_05_30__10_16_25_121,21, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_25_121_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,88.5103244837758
340.0,0.41113999999999995, 2017_05_30__10_16_25_909,22, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_25_909_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,40.42674532940019
360.0,1.1759700000000002, 2017_05_30__10_16_28_358,23, F,B_208_2017_05_30_H_7_RewSec,2017_05_30__10_16_28_358_220_450_0_5.txt,208,7,RewSec,50,338.0,50,344.6,4.46,115.6312684365782
